@relation GHC_original-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute ' forum_id' numeric
@attribute ' posted_time' numeric
@attribute ' deleted' numeric
@attribute ' approved' numeric
@attribute ' unresolved' numeric
@attribute ' anonymous' numeric
@attribute ' title_has_lecture' numeric
@attribute ' title_has_quiz_assignment_grade_project' numeric
@attribute ' posts_count_request' numeric
@attribute ' posts_count_thanks' numeric
@attribute ' posts_countLogistics' numeric
@attribute ' posts_count_problems' numeric
@attribute ' meanposttimes' numeric
@attribute ' varposttimes' numeric
@attribute ' meanDiffFromLandmarks' numeric
@attribute ' numStudentOnlyPostsVotes' numeric
@attribute ' last_updated_time_StudentPostsOnly' numeric
@attribute instructor_replied {0,1}
@attribute ' numStudentPostsOnly' numeric

@data
3,1368380400,0,0,1,1,0,0,0,0,1,0,1370000000,0,209940,1,1370000000,1,1
12,1368385925,0,0,0,1,0,0,0,0.285714,0,0,1370000000,70500000000,147992.7143,3,1370000000,0,7
12,1368387677,0,0,0,0,0,0,0,0.5,0,0,1370000000,266000000,186339.5,2,1370000000,0,2
7,1368398524,0,0,1,0,0,1,0,0,2,1,1370000000,0,191816,0,1370000000,1,1
2,1368403825,0,0,0,0,0,0,0,0,1,0,1370000000,0,186515,0,1370000000,1,1
2,1368406306,0,0,0,0,0,0,0,0.666667,0,0,1370000000,2600000000,147144,1,1370000000,0,3
15,1368409397,0,0,0,0,0,0,0,0,0.5,0,1370000000,4182025,178898,1,1370000000,0,2
2,1368410784,0,0,0,0,1,0,0.666667,0.333333,0.333333,0,1370000000,815000000,157258.3333,1,1370000000,0,3
2,1368413309,0,0,0,0,0,0,0,0,0,0,1370000000,0,177031,0,1370000000,1,1
2,1368422431,0,0,0,0,0,0,0,0,1,0,1370000000,0,167909,1,1370000000,1,1
2,1368457746,0,0,0,0,1,0,0,0,0.5,0.5,1370000000,8140000000,90209.5,1,1370000000,0,2
7,1368460017,0,0,1,0,1,0,0,0.25,1,0,1370000000,142000000000,160166,4,1370000000,0,4
16,1368460335,0,0,0,0,0,0,0,0,6,0,1370000000,0,130005,2,1370000000,0,1
16,1368463342,0,0,0,0,0,0,0,0,0,0,1370000000,0,126998,0,1370000000,0,1
9,1368466096,0,0,1,0,0,0,0,0,2,0,1370000000,66400000000,82474.5,1,1370000000,0,2
2,1368466103,0,0,0,0,0,0,0,0,2,0,1370000000,0,124237,0,1370000000,0,1
2,1368468224,0,0,0,0,0,0,0,0,0,1,1370000000,0,122116,0,1370000000,0,1
16,1368470962,0,0,0,0,0,0,0,0,1.5,0,1370000000,138000000,107639,2,1370000000,0,2
16,1368471569,0,0,0,0,0,0,0,0,0,0,1370000000,0,118771,0,1370000000,0,1
7,1368472667,0,0,1,0,0,0,0,0,2,1,1370000000,0,117673,0,1370000000,0,1
16,1368477741,0,0,0,0,0,0,0,0,0,0,1370000000,0,112599,0,1370000000,0,1
2,1368478369,0,0,0,0,0,0,0,0,0,0,1370000000,289,111954,0,1370000000,0,2
16,1368481394,0,0,0,0,0,0,0,0,0,0,1370000000,0,108946,0,1370000000,1,1
9,1368483181,0,0,1,0,0,0,0,0.5,2.666667,0,1370000000,2100000000,60490.83333,1,1370000000,0,6
2,1368484991,0,0,0,0,0,0,0,0,0.166667,0,1370000000,12600000000,111459.5,-3,1370000000,0,6
16,1368489266,0,0,0,0,1,0,0,0,0.5,0,1370000000,29200000,95670.5,0,1370000000,0,2
7,1368500439,0,0,1,0,1,0,0,0.5,1,0.5,1370000000,63500000,81933.5,0,1370000000,0,2
16,1368505923,0,0,0,0,0,0,0,0,1.333333,0,1370000000,4140000000,71788.33333,1,1370000000,0,3
2,1368515030,1,0,0,0,0,0,0,0,0.5,0,1370000000,5040000000,71001,0,1370000000,0,2
2,1368520921,0,0,0,0,0,0,0,0,0,0,1370000000,0,69419,0,1370000000,1,1
16,1368522300,0,0,0,0,0,0,0,0,1.666667,0.666667,1370000000,113000000,53053.33333,4,1370000000,1,3
12,1368531404,0,0,0,0,0,0,0,0,0,0,1370000000,0,58936,1,1370000000,0,1
12,1368538405,0,0,0,1,0,0,0,0,0,0,1370000000,52200000000,18933.66667,0,1370000000,0,3
7,1368539855,0,0,1,0,0,0,0,0,1,0,1370000000,0,50485,0,1370000000,0,1
12,1368545286,0,0,0,0,0,0,0,0,0,0,1370000000,0,45054,1,1370000000,0,1
16,1368548548,0,0,0,1,0,0,0,0,3,0,1370000000,0,41792,1,1370000000,1,1
2,1368549622,0,0,0,0,0,0,0,0,0,0,1370000000,0,40718,1,1370000000,0,1
3,1368555028,0,0,1,0,1,0,0,0.333333,0.666667,0,1370000000,6330176.889,32443.33333,0,1370000000,0,3
7,1368560522,0,0,1,1,0,0,0,0,2,0,1370000000,0,29818,-1,1370000000,1,1
2,1368572043,0,0,0,0,0,0,0,0.5,0,0,1370000000,357000000,18893,1,1370000000,0,2
16,1368577082,0,0,0,0,0,0,0.2,0,0.8,0,1370000000,178000000,13425.4,0,1370000000,0,5
9,1368586367,0,0,1,0,0,0,0,0,5,1,1370000000,0,3973,0,1370000000,1,1
7,1368587966,0,0,1,0,0,0,0,0,2,0,1370000000,0,2374,0,1370000000,1,1
7,1368590959,0,0,1,0,0,0,0.25,0.25,1,0.75,1370000000,127000000000,67572.5,0,1370000000,0,4
12,1368609376,0,0,0,0,0,0,0,0,0,0,1370000000,0,19036,0,1370000000,0,1
3,1368627264,0,0,1,1,0,0,0,0,5,0,1370000000,0,36924,0,1370000000,0,1
2,1368627515,0,0,0,1,0,0,0,0,0,0,1370000000,0,37175,0,1370000000,0,1
2,1368632275,0,0,0,0,0,0,0,0,0,0,1370000000,0,41935,2,1370000000,0,1
2,1368636841,0,0,0,0,0,0,0,0,0,0,1370000000,0,46501,0,1370000000,0,1
3,1368651491,0,0,1,0,0,1,0,0,3,0,1370000000,0,61151,0,1370000000,1,1
2,1368652929,0,0,0,0,0,0,0,0,0.8,0.2,1370000000,6570000000,99236.2,0,1370000000,0,5
2,1368655914,0,0,0,0,0,0,0,0,1.5,0,1370000000,85556.25,65866.5,1,1370000000,1,2
9,1368657437,0,0,1,0,0,0,0,0,0,1,1370000000,0,67097,0,1370000000,1,1
9,1368660653,0,0,1,0,0,0,0,0,0,0.5,1370000000,339000000,88714.5,2,1370000000,0,2
2,1368661294,0,0,0,0,0,0,0,0,1,0,1370000000,0,70954,0,1370000000,1,1
9,1368663884,0,0,1,0,0,0,0,0,1,1,1370000000,0,73544,0,1370000000,1,1
2,1368668188,0,0,0,0,0,0,0,0,0,0,1370000000,0,77848,2,1370000000,0,1
2,1368679805,0,0,0,0,0,0,0,0.6,0.3,0.2,1370000000,5510000000,155184.8,-3,1370000000,0,10
2,1368686181,0,0,0,0,0,0,0.041667,0.208333,0.416667,0.333333,1370000000,8520000000,121597.5417,13,1370000000,0,24
16,1368690721,0,0,0,1,1,0,0,0,2,0,1370000000,0,100381,0,1370000000,1,1
2,1368691009,0,0,0,0,0,0,0,0,0,0,1370000000,0,100669,0,1370000000,0,1
16,1368707773,0,0,0,0,0,0,0,0,2,0,1370000000,0,117433,0,1370000000,1,1
16,1368715032,0,0,0,0,0,0,0,0,2,0,1370000000,0,124692,0,1370000000,1,1
7,1368737395,0,0,1,0,0,0,0,0,0.25,0,1370000000,227000000,169901.5,5,1370000000,0,4
