@relation WCR_correctFormat_20-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
14,1364164406,0,0,0,0,0,0,0,0,0,0,1360000000,0,105934,0,1360000000,0,1
34,1366214325,0,0,0,0,0,0,0,0,0.333333,0,1370000000,26200000000,348852.8333,7,1370000000,0,6
13,1363726496,0,0,0,0,0,0,0,0,0.75,0,1360000000,39500000,280484,0,1360000000,0,4
20,1362061426,0,0,0,0,0,0,0,0.4,0.4,0,1360000000,20100000000,190635.2,15,1360000000,0,5
13,1361824429,0,0,0,0,0,0,0,0.4,0.2,0,1360000000,3890000000,101249.5,1,1360000000,0,10
3,1368034919,0,0,1,0,0,0,0.2,0.2,1,0,1370000000,207000000,405229.4,4,1370000000,1,5
21,1364921022,0,0,0,0,0,0,0,0,0.666667,0.333333,1360000000,30900000,119552.3333,6,1360000000,1,3
13,1367543495,0,0,0,0,0,0,0,0.2,1.2,0.6,1370000000,711000000,113211.8,6,1370000000,1,5
23,1363066880,0,0,0,0,0,0,0,0.666667,0.666667,0,1360000000,271000000,29405,2,1360000000,0,3
3,1362025235,0,0,0,0,0,0,0.25,0,0,0,1360000000,432000000,69281.25,0,1360000000,0,4
3,1364445815,0,0,0,0,0,1,0,0,2.5,0,1360000000,454276,176149,0,1360000000,1,2
13,1362144226,0,0,0,0,0,0,0,0.333333,0,0,1360000000,164000000,165526.3333,5,1360000000,0,3
3,1362888946,0,0,1,0,0,0,0,0,0,0,1360000000,0,171794,0,1360000000,1,1
21,1361837067,0,0,0,0,0,0,0,0,0.666667,0,1360000000,1130000000,95066.33333,8,1360000000,0,6
17,1363004177,0,0,0,0,0,0,0,0,2,0,1360000000,149000000,44363,4,1360000000,1,2
35,1367117466,0,0,0,0,0,0,0,0,0,0,1370000000,3770000000,143692.5,3,1370000000,0,2
13,1364426835,0,0,0,0,0,0,0,0,0,0,1360000000,36500000000,195907.2,6,1360000000,0,5
15,1361806675,0,0,0,0,0,0,0,0,0,0,1360000000,0,183978,1,1360000000,0,1
22,1366119885,0,0,0,0,0,0,0,0,1.181818,0,1370000000,5040000000,135990,4,1370000000,0,11
15,1362440896,0,0,0,0,0,0,0,0,0,0,1360000000,0,450243,0,1360000000,0,1
13,1362064664,1,0,0,0,0,0,0,0,2,0,1360000000,0,74011,0,1360000000,0,1
15,1361803340,0,0,0,0,0,0,0,0,0,0,1360000000,1425371.556,185817.6667,0,1360000000,0,3
34,1366054394,0,0,0,0,0,0,0,0,0,0,1370000000,0,30346,2,1370000000,0,1
15,1361827870,0,0,0,0,0,0,0,0,0,0,1360000000,11800000000,119212.6667,0,1360000000,0,3
3,1364951848,0,0,1,0,0,0,0,0.833333,0.333333,0,1370000000,57700000000,189968.1667,9,1370000000,0,6
32,1365555648,0,0,0,0,0,0,0,0,1,0,1370000000,0,183492,1,1370000000,0,1
4,1363995386,0,0,0,0,0,0,0,0,0,0,1360000000,0,15754,0,1360000000,0,1
15,1361806229,0,0,0,0,0,0,0,0,0,0,1360000000,0,184424,1,1360000000,0,1
21,1362237910,0,0,0,0,0,0,0,0,0.375,0,1360000000,285000000000,326730.125,9,1360000000,0,8
15,1361826212,0,0,0,0,0,0,0,0,0,0,1360000000,320000000000,133849,5,1360000000,0,2
15,1361788952,0,0,0,0,0,0,0.333333,0.458333,0,0,1360000000,35100000000,132603.1667,27,1360000000,0,24
3,1363263983,0,0,1,0,0,0,1,0,2,0,1360000000,0,30443,0,1360000000,1,1
22,1367558233,0,0,0,1,1,0,0,0.1,2.8,0.5,1370000000,26100000000,256313.5,27,1370000000,0,10
15,1362004306,0,0,0,0,0,0,0,0,0,0,1360000000,112896,13989,0,1360000000,0,2
25,1363353562,0,0,0,0,0,0,0,0,1,0,1360000000,360000000,136337,6,1360000000,0,4
13,1363776771,0,0,0,0,0,0,0,0,1,0,1360000000,641000000,209060,3,1360000000,1,2
14,1367550683,0,0,0,0,0,0,0.5,0,0,0,1370000000,60400000000,251004,1,1370000000,0,2
15,1362331284,0,0,0,0,0,0,0,0,0,0,1360000000,337000000000,262919,1,1360000000,0,4
15,1361796352,0,0,0,0,0,0,0,0,0,0,1360000000,0,194301,1,1360000000,0,1
13,1367325992,0,0,0,0,0,0,0,0,0.5,0,1370000000,1255520.25,140027.5,6,1370000000,1,2
22,1364142405,0,0,0,0,0,0,0,0,1,0,1360000000,124000000,116780,0,1360000000,0,2
9,1362020732,0,0,1,0,1,0,0,0,0.75,0.5,1360000000,3080000000,84165,0,1360000000,1,4
13,1362062375,0,0,0,0,0,0,1,0,0,0,1360000000,0,71722,1,1360000000,0,1
23,1362551213,0,0,0,0,0,0,0,0,0.5,0,1360000000,217000000,494792.5,6,1360000000,1,2
4,1361785938,0,0,0,1,0,0,0.2,0.6,0,0,1360000000,110000000000,281766.8,1,1360000000,0,5
