@relation WCR_80_upsampled-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
15,1360000000,1,0,0,0,0,0,0,0,0,0,1360000000,0,534389,0,1360000000,0,1
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,145514,0,1360000000,0,1
13,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,41533,1,1360000000,0,1
23,1360000000,0,0,0,0,0,0,0,0,0.5,0.5,1360000000,9730000000,168158.25,3,1360000000,0,4
7,1360000000,0,0,1,0,0,0,0,0,0,0,1360000000,644809,95096,1,1360000000,0,2
21,1360000000,0,0,0,0,0,0,0,0.2,0,0,1360000000,2606474.8,252201,8,1360000000,0,5
14,1360000000,0,0,0,0,0,0,0,0.2,0.8,0,1360000000,623000000,129112.2,10,1360000000,0,5
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,182422,0,1360000000,0,1
21,1360000000,0,0,0,0,0,0,0,0,0.5,0,1360000000,28500000,71392,2,1360000000,0,2
4,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,53000000000,237962.4444,-8,1360000000,0,9
13,1360000000,0,0,0,0,0,0,0,0,1,0,1360000000,0,318008,0,1360000000,0,1
9,1360000000,0,0,1,0,1,0,0,0,1,1,1360000000,0,62156,0,1360000000,0,1
13,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,7520000000,100889.3333,3,1360000000,0,3
14,1360000000,0,0,0,0,0,0,0,0,1,3,1360000000,0,81700,0,1360000000,0,1
13,1360000000,0,0,0,0,0,0,0,0,1.5,0,1360000000,15625,233798,4,1360000000,0,2
4,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,133000000000,354976,1,1360000000,0,2
15,1360000000,0,0,0,0,0,0,0,0,0,0.5,1360000000,31000000,117399.5,0,1360000000,0,2
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,529981,0,1360000000,0,1
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,31647,0,1360000000,0,1
